timestamp_utc,event_type,notes
2026-04-04T18:32:09Z,synced_start,auto: first successful RPC sample was synced
2026-04-04T18:39:49.752+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-05T06:31:50.600+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-05T06:36:17.335+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-05T18:32:30.501+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-05T18:36:57.408+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-06T06:32:13.717+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-06T06:41:19.996+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-06T18:32:20.857+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-06T18:41:21.700+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-07T06:32:00.698+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-07T06:41:13.859+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
